TRIAL,CONVERSATION
6,does it have any preset mode?
6,it has 9 preset modes that let you take pictures according to the light it's very easy to use
6,it sounds great how much does it cost?
6,$550 the best-value camera at that price
6,I see that's a little steep. do you have anything in this range that's more affordable?
6,can I ask what sort of pictures you take?
6,I want a camera that's that has good performance but is practical to use
6,"we have a cheaper sony camera.  The Sony a5000, it cost $250"
6,How is the iso of this one?
6,"it has the same iso than the other sony"
6,that is nice. What about its weight?
6,"pick it up and see how it feels. it so light, only 269 grams,  it has plastic lens so it's designed to be much lighter "
6,what about its preset modes?
6,"I do not know, let me check."
7,good afternoon how can I help you today?
7,hi is this sony a5000 good for low light pictures?
7,this is a fantastic camera for low light pictures. it has an ISO that goes up to 3200 and its mirrorless 
7,oh how about the sensor size?
7,"it has a cmos sensor. it's quite big, its size is 23,2 x 15,4 mm"
7,I see actually I'm looking for something a little bit more advanced than this one. do you have anything like that?
7,we have the top-end Canon 5d Mark. it gives you full creative control with full manual settings. It is used by google.
7,is it heavy?
7,yes it is. it weighs 1 kilogram and when you add lens it's even heavier
7,Is it automatic?
7,"No, it's designed for full manual creative control "
7,How much does it cost?
7,2000 dollars. can I ask what sort of photographs you take?
7,I like taking pictures at the night sky so I need something that performs well under low light
7,"this camera is great, it has a shutter speed of 1/7000 seconds"
7,sounds good thank you for your information
7,thank you for your time please come again
8,good afternoon how can I help you?
8,good afternoon I'm interested in the canon camera. can you tell me more about it?
8,it's a DSLR full manual control camera it gives you total control over the creative process
8,sounds good what about the manual settings?
8,"every manual setting you want is in this camera this is designed to be a complete camera. it's the number one"
8,how high can I set up the ISO?
8,the ISO goes up to 6400 its excellent for shooting in low light
8,how many autofocus points does it have?
8,it has 61 auto focus points that can be combined in a variety of autofocus modes
8,how many colors does it come in?
8,black. black only
8,well black is a good color. how much does it cost?
8,the body is $2000. the lenses cost an extra.
8,do you have something that's more affordable in this range?
8,we have the sony a6000 camera that takes excellent pictures and is similar to this camera. It's much cheaper but there are some compromises. 
8,and for this model how many autofocus points does it have?
8,it has 179 autofocus points
8,that's cool and what about the iso setting?
8,the ISO setting is only up to 3200. Is half than the Canon that I showed you.
8,I see well thank you for your time
8,thank you have a good afternoon
9,good afternoon how can I help you today?
9,I'm not really good at taking photos or anything I just need something that's easy to use
9,The nikon Coolpix s2800 camera right here is perfect for you. its a Mirrorless camera that can help you in any situation
9,Is it available in other colors?
9,right now in stock we have purple pink black silver and red
9,what about the megapixels. how many can it shoot?
9,its has 20 megapixels so you can make quite a large poster and it will still look very clear
9,can you take good pictures? because I'm not very good at taking them I'm worried about the quality of the result
9,it takes great pictures everything is fully automatic if you want to.
9,it sounds great how much does it cost?
9,it's only $68
9,is there anything else I should know about this model?
9,it has zoom lens as well so if you want a little bit of extra help to take the photo this model can serve you well.
9,that sounds good
9,"it is over here, it has a very nice shape"
9,thanks for your time
9,thank you look forward to seeing you again
10,good afternoon how can I help?
10,I was looking at this sony camera. It looks good
10,"it's an excellent camera that gives you a lot of the features of a professional cameras at a much lower price, and it costs 550 dollars only"
10,really? can you tell me more?
10,"for me one of the most exciting things is that is a mirrorless camera. if you want to take a shoot late at night you won't get that vibration that can happen when a mirror moves inside the camera"
10,so do you mean it takes good picture at night?
10,"yes, it can take good pictures at any hour. there are cameras that take better pictures but they are much more expensive"
10,so how high does the iso go?
10,on this camera up to 3200 with little noise
10,what about the exposure?
10,that can go up to 30 seconds
10, Is there are a camera with longer exposure?
10,"Yes of course. please come over let me show you the Canon 5d Mark 3"
10,what ISO does it have?
10,Up to 6400 in the evening. you have full creative control with manual shutter settings
10,oh that sounds good how long does the exposure go?
10,here the explosure is around 40 seconds.
10,it looks heavy though how much does it weight?
10,yes it is heavy it weighs one kilogram without lens
10,how much does it cost?
10,$2000 lens not included.
10,thank you for your time
10,thank you have a good afternoon
11,good afternoon how can I help?
11,hey I'm looking for a camera that's easy to use
11,we have two easy to use cameras. this one is 68 dollars and that one is 550 dollars
11,can you tell me more about nikon coolpix?
11,"nikon is perhaps the simplest camera for people who want diferent photos, like family photos and landscapes. it is a point and shoot camera "
11,what about its resolution?
11,it has 20.1 megapixels so you can make quite large posters. they look fantastic
11,is it equipped with any preset modes?
11,it has a set of 14 presets. sometimes it may seem a little tricky to use but once you get familiar with its functionalities it's very simple.
11,does it come in any other colors?
11,purple pink black silver and red
11,and is it heavy?
11,this camera is very light 120 grams. for instance the other camera weights 470 grams
11,sounds like a pretty good option
11,thank you for your time
13,good afternoon how can I help today?
13,I'm looking for a camera
13,"this canon is a top DSLR camera. it only weights 950 grams and it has multiple manual settings. in fact every manual setting that you can think of is available on this camera."
13,"do you have something similar but a bit more affordable and easy to use?. I'm not very good with manual cameras."
13,yes of course this Sony alpha a6000 is perfect for you.
13,really? tell me more
13,it has 179 autofocus points to get a very fine texture in any picture
13,does it take good pictures in a dark environment?
13,it works very well until late evening because it has an ISO 3200
13,what about its sensor size?
13,it has a cropped digital sensor with a size of 23 mm x 32 mm. it's quite large for a digital camera.
13,I see so can I take good pictures with these even though I don't have a profound knowledge about photography?
13,the picture quality of this camera is excellent an option for most situations. it is as good as the top-end camera
13,Do you have it in other colors?
13,it's available in white silver and black
13,that's great
13,thank you please come this way
14,good afternoon how can I help you today?
14,I'm looking for a camera
14,there are many cameras. What type of pictures do you take?
14,I'm not really into photography I just need it for a family vacation that's coming up
14,"this nikon comes in colors black, red and purple only. it's really easy to use because it is automatic so you can focus on the experience instead on how to properly set up the camera"
14,how powerful is it?
14,"it takes pictures at 20 megapixels, you can get a large poster and the picture will be really clean"
14,oh yeah that sounds good does it have any preset modes?
14,it has 18 preset modes. you will probably find a few that work best for you and don't bother too much about the others.  
14,it also allows for 12 glamour retouching effects so if something goes wrong like a background too bright you can fix it with this camera.
14,is it light? because I don't want to be carrying around heavy stuff
14,"I am not sure. I should ask. please feel free to take it an feel how heavy it is"
14,it's pretty light
14,would you like to take some pictures with it now?
14,it's pretty easy
14,and the pictures look great as you can see.
14,true. thank you very much for your help
14,thank you for your time have a good afternoon
15,good afternoon how can I help?
15,this sony a6000 camera looks good can you tell me more about it?
15,it's an excellent Mirrorless camera  it's designed to take professional pictures at an affordable price of 68 dollars.
15,how good is the quality when I take pictures at night for example?
15,in the evening it can go up to 3200 ISO
15,can you take long exposure shoots?
15,only for 30 seconds and it has a 1/4000 second shutter speed. 
15,"For longer exposure shoots you would have to look for our top-end Point-and-shoot camera, the Cannon EOS Mark III"
15,"show me that canon then. How much the explosure is"
15,is it has a bulb setting so if you want to take exposure shoots as long as you want really.
15,I see what else can it do?
15,pretty much everything. if you want to do something with a camera this one can do it
15,how much does it cost?
15,you can see it here the body only is $2000
15,I guess it's a pretty good camera then
15,is the choice of most professionals
15,thank you for your time
16,I'm looking for a point and shoot camera
16,Please come and have a look at this nikon camera. this is an excellent quality point and shoot camera with 20 megapixels.
16,any preset modes?
16,it has 20 preset modes. but we find that most users only choose the two or three settings they like the most and forget about the rest.
16,does it come with any retouch modes?
16,there are up to 12 retouching effect modes to clean up some skin colors. especially if they look a little bit washed out in sunlight or under fluorescent lights
16, what about optical zoom?
16,is has a basic 5x optical zoom so if you want to set up your family photo you can adjust the frame very easily
16,it comes in a number of colors to we have purple pink black silver and red
16,and is it heavy?
16,"please pick it up and try, it is about 128 grams"
16,it seems like a pretty good camera
16,yes we had great feedback.  would you like to talk to one of our other staff and have a look at what's in stock right now?
16,that would be good thank you very much
16,thank you for your time
18,good afternoon how can I help today
18,hi I'm looking for a practical camera
18,can I ask what sort of pictures you take
18,Oh I take pictures most on family vacations
18,when you travel with your family do you go to big landscapes?
18,yeah
18,you might be interested in this camera over here. The sony a6000.
18,does it have autofocus?
18,it has 179 different points that are picked up on the sensor.
18,does it come in any other colors
18,you can choose between white silver and black
18,and how much does it cost?
18,550 dollars
18,is quite expensive.
18,"we also have this camera over here, the nikon, for 68 dollars"
18,this seems like a more reasonable choice
18,this is excellent for family and traveling photos.
18,thank you very much for your help
18,thank you for your time have a good afternoon
19,good afternoon how can I help?
19,this camera looks good how high does the iso go
19,the iso on this camera goes up to 6400
19,and what is the size of its sensor?
19, 35mm x 25mm that's the standard for a top end camera
19,what about the auto focus points?
19,it has 61 autofocus points and a number of modes that use those to create a very fast response
19,what about the weight?
19,some people think it's a bit heavy it weighs 950 grams but that is what you get when you buy a top end camera
19,how much does it cost?
19,the body is $2000. lenses not included
19,how much freedom do I get when using this camera?
19,you have full creative control it has every possible manual setting
19,it sounds pretty good
19,we have one over here if you want to try it.
19,I will call you back later thank you very much
19,no worries thank you for your time I look forward to seeing from again
20,good afternoon how can I help you?
20,this sony alpha a6000 camera looks good
20,it's an excellent camera. it takes the same quality pictures as a top-end camera for a lower price.
20,tell me more about it
20,it's only $550 and 179 autofocus points you can hold focus across a wide range of movements.
20,that sounds good how high can I set the ISO?
20,the ISO goes up to 3200
20,any preset modes for different environment conditions??
20,it has 9 preset modes. people can choose 1 or 2 preset modes and stay with what they're comfortable with.
20,Does it come in white?
20,it is. we have it in white silver and black
20,can I ask what kind of pictures you take
20,I take pictures of people mostly my friends
20,we have this nikon Coolpix S2800 over here. Its a Mirrorless camera that may suit you better.
20,how many megapixels?
20,20 megapixels. you can take fairly decent photos.
20,Does it come in color white as well?
20,No. it only comes in purple pink black silver and red
20,I see and how much does it cost?
20,only $68 it's the best camera in its price range
20,thank you for your help
20,thank you for your time have a good afternoon
21,excuse me. I am looking for camera
21,can I ask what kind of pictures do you take?
21,show me a camera that's practical but also with manual configuration.
21,this nikon coolpix S2800 is excellent but doesnt have manual configuration
21,"If we look here we find the Sony Alpha a6000, this camera is practical for family portraits and it has good manual control"
21,what sort of configuration can I do with it?
21,"you have control over the exposure up to 30 seconds and a shutter speed of 1/7000 seconds."
21,I see. how high can the iso be?
21,the iso goes up to 3200. it works very well during the evening
21,how much does it cost?
21,its only 550 dollars but it has 179 focus points. You won't lose the focus even in movement.
21,is it heavy though?
21,please pick it up and see 470 grams
21,it seems like a good camera
21,it is a little bit heavier than the nikon Coolpix but is a better camera overall.
21,I see thanks for your help
21,thank you for your time have a good afternoon
22,good afternoon how can I help
22,hi I'm interested in this canon camera
22,this is an excellent DSLR camera is the choice for professionals
22,does it take good pictures at night?
22,It can be used to take pictures of the stars and create star trails. It has unlimited explosure
22,that's perfect how high can I set the ISO?
22,the ISO is set up to 6400 you can also bring it down if you want
22,how much does the body weight
22,almost 2 kilogram not counting the lens. It is the main problem of this camera.
22,I see thanks for your help
22,thank you for your time have a good afternoon
23,good afternoon are you looking for a camera?
23,yes. could you help me with that? 
23,can I ask what sort of pictures you take?
23,I take pictures mostly about my family when we are on vacation
23,"this nikon camera here is perfect for that. would you like to pick it up and try to take some pictures? it's an automatic camera, very easy to handle."
23,quality doesn't look so good though. do you have something a little more advanced?
23,yes we have the sony a6000 camera that takes excellent travel pictures and has full manual control
23,show me the features of this camera
23,It has up to 15 artistic effect modes and 9 preset modes
23,is it heavy?
23,for a camera with this picture quality it's light but is still 500 grams. pick it up and try
23,that looks good. How much?
23,it's only $550
23,is it available in in black?
23,yes it does
23,that's perfect thank you for your help
23,thank you for your time have a good afternoon
24,hey I'm looking for a camera
24,we have compact cameras or cameras with full manual control
24,which one would you recommend?
24,can I ask what sort of pictures do you take?
24,nothing in particular. just simple pictures when I see something a like.
24,I understand. I travel a lot myself and I never know what I'm going to see so I always try to have a camera at hand. 
24,this sony Alpha a6000 camera has full manual control. Its one of our best DSLR cameras of the shop.
24,does it have any preset mode sets?
24,has nine basic preset modes that deal with different situations like beach or snow.
24,what about the price?
24,it's $550 and it takes the same top quality pictures as cameras costing more than that. 
24,is it heavy?
24,please pick it up and try it yourself.
24,it's a bit heavy
24,it's 470 grams. we also have a much lighter camera over here. the nikon coolpix
24,it seems very practical
24,very lightweight indeed. its a pont and shoot camera with excellent picture quality. 
24,does it come in other colors?
24,"we have it in purple, pink, black, green or, red"
24,we have them in stock right now. look around to see the rest of the cameras and tell me if you need anything.
24,okay thanks
24,thank you for your time have a good afternoon
25,good afternoon how can I help you?
25,I'm looking for a camera that I can use in concerts
25,that's a bit tricky. will you be using flash?
25,I prefer not
25,I understand. In this case you would need to have very close control over exposure
25,yeah that's true
25,the canon EOS 5D is really the only camera that will work for you. it's and DSLR camera that gives you full creative control and unlimited exposure control.
25,in concert you also need a high ISO. this is the best camera on the market for that environment. It has up to 6400 ISO which is excellent 
25,how about the autofocus?
25,you have 61 autofocus points some cameras have more but this one behaves very well even in motion.
25,thank you for your help
28,yes how can I help you?
28,what is the sensor size of this camera canon?
28,it has a full frame sensor with size 35mm x 25mm
28,does it have long exposure?
28,it has an exposure up to 30 seconds
28,whoat about the optical zoom?
28,"it doesn't have optical zoom by default, you need to include some lenses"
28, And what is the size of this sony camera?
28,it has an API aps-c sensor
28,what about its exposure?
28,it lasts about 30 seconds
29,excuse me
29,yes ma'am how can I help you
29,do you have this nikon in color black?
29,yes we actually have it in four different colors black grey pink and red
29,are you experienced in using these type of cameras?
29,not much
29,"I think this camera will be the perfect for you. it's a has a wide variety of auto settings. it has up to 18 preset modes, so if you go on traveling with your family it will give you good results no matter what"
29,how much does it weight?
29,as you can see it's quite light its 120 grams
29,how much does it cost?
29,it is affordable its in the range of the 60 to 70 dollars
29,And what about this sony alpha a6000? do you have it in red color?
29,no we don't have red color for this one
29,what colors do you have?
29,for this one we have grey and black only
29,how many modes does it have by default?
29,it has 9 preset modes for every weather condition and it also have manual control
29,how much?
29,it costs a bit more. you can buy it for $550
29,550 dollars too expensive for me
29,i recommend you the previous camera then
29,thank you very much
30,how can I help you today?
30,I'm looking for a lightweight camera
30,if you need a light camera I can show you this Nikon Coolpix S2800. It will please you I think
30,how many preset modes does it support?
30,it has 12 preset modes and 18 glamour retouch effects
30,how much it costs?
30,it's only $68. its perfect for aniversaries and festivities.
30,"and this Sony alpha a6000 over here, it is only available in black?"
30,"we do have it in black colour, but also in it comes in white and silver colors"
30,Does it has preset modes as well?
30, It has up to 9 preset modes but its also a manual camera.
30,I am serching for a point and shoot camera
30,"Then I recommend you to the previous camera I showed you, the nikon, which has tons of preset modes and is very easy to use"
30,it also comes in many colors and it's pretty cheap for $68
30,thank you for your support
31,can you help me? 
31,yes madam
31,I'm looking for a camera for outdoor shooting. Is this nikon good for me?
31,"it is, indeed. It has 20 preset modes for every situation, including outdoor shooting"
31,does it come with long exposure?
31,no it doesn't. if you're looking long exposures I recommend you the sony alpha a6000 camera
31,what can you tell me about it?
31,it has an aps-c sensor and it also supports a exposure up to 30 seconds so it's very good for outdoor shooting
31,what about its iso?
31,Its up to 3200 without little noise. aside from that it also has 9 preset modes that adapts the camera to any environments
31,and what about this canon EOS 5D camera?
31,This one is a full DSLR manual camera. It has long exposure as well.
31,thank you very much
31,you're welcome
32,excuse me
32,how can I help you
32,Does this sony a6000 camera support preset modes?
32,it supports a 9 different types of preset modes including a beach snow and night portrait
32,In what colors do you have it available?
32,this one comes in three colors white silver and black
32,I'm looking for a camara in red color. do you have any?
32,for this camera we don't have the red color. However for this nikon over here we do have it in red.
32,let's see
32,this one comes in 5 different color purple pink black silver and red. It comes with 18 preset modes as well.
32,I don't have much experience in taking photos. is it good for me?
32,The Nikon is designed for beginners because you don't have to adjust anything. It is automatic.
32,And how much this canon model?
32,that one is a $2000 professional camera with manual settings.
32,thank you for the support
32,yes you're welcome
33,excuse me does this camera suports preset modes? 
33,the canon EOS 5D Mark III is a full manual camera so it doesn't have any preset mode
33,I can recommend you the nikon for a camera with preset modes. It has 18 different to choose from.
33,In which colors do you have it?
33,this one comes in 3 different colors red purple and pink
33,how much does it cost?
33,only costs $68. its the cheapest camera of the shop
33,and this sony alpha a6000 has preset modes as well?
33,"it has 9 preset modes, but its also a manual camera."
33,is it heavy?
33,"as you can see it's a 470 grams camera, so it's not really heavy"
33,okay thanks
33,thank you for visiting our store
35,excuse me. This canon has preset mode
35,it is a manual camera if you're looking up for a preset point and shoot camera that I can show you the nikon
35,how many preset modes
35,this one has 18 different people in one at a squirtle moves everything
35,do you have black color
35,yes we do we have 5 different colors black red purple pink and silver
35,seems lightweight. what is the weight of this camera
35,it's light as you said it's very light and only 120 grams and it's easy to be to put in your pocket
35,how much is this
35,this one is very cheap $68
35,and waht about this sony
35,this needs an Experience user
35,not high experience user. it is for medium experienced because it has a seven preset modes but this is for intermediate user because it also have some manual settings
35,how much is this
35,this one cost $550
35,what colors do you have
35,that's why we have white silver and black
35,thank you very  much
35,you're welcome
36,excuse me
36,yes ma'am
36,is this canon whole manual camera
36,yes it is it's a full manual camera and it's so so full frame camera
36,is this supposed following exposure
36,it south has 52 seconds exposure  and about that it also supports both know so he can hold it for sure for as long as you want
36,how is the ISO performance
36,with a really high asset income cell with a 6400 ISO settings and it has very little noise for that amount of highest
36,how much is this
36,it is 3000 dollars
36,is there any other low price camera
36,"more a cheaper cover up that it also has manual settings, we have this sony"
36,what is the sensor of size
36,aps-c sensor which is not full frame but it's enough to shoot outdoor shooting
36,how much is this
36,Is $550 but you don't have to buy extra lenses for this one
36,thank you for your support
36,you are welcome
37,excuse me
37,yes how can I help you
37,this sony is a full manual camera
37,I know it has manual settings but I also have some preset mode
37,what does sensor size
37,the sensor size for this one is that a has an aps-c sensor
37,whart about iso
37,how far this one goes up to 3200 ISO levels
37,is there any other manual cameras
37,"yes i can show you the other full manual camera, a canon"
37,what about ISO performance
37,this one it goes up to 6400 ISO
37,exposure
37,"I can not guess the  exposure, we should check"
38,excuse me
38,yes madam
38,size of performance of this canon camera
38,6400 ISO with very little money
38,is this full manual 
38,this is full manual
38,size
38,what's a full frame camera
38,"and what about this sony, ISO"
38,they want it supposed to 3200 ISO
38,is this one manual
38,who has manual mode but I also have preset modes. Is semi-automatic
38,thank you for your support
38,no problem
39,excuse me
39,yes how can I help you
39,I'm looking for daily use camera
39,easy to use camera. It will be the nikon
39,do you have black color
39,yes it has a black color
39,and in purple
39,"yes we have a purple, I think, as over red and black"
39,and how much about this sony
39,"the previous camera,  is the cheapest so we have it is $68"
39,is this sony good for daily use
39,yes it has 9 different preset mode so it's really easy to use and also has manual settings
40,excuse me
40,yes how can I help you
40,this nikon has support for basic mode
40,"yes, it has 18 different things that most"
40,how about the weight
40,it is also very light
40,black color
40,yes we do have that color and aside from that perfectly pink silver and red
40,how much is this 
40,this one cost $68
40,how much is this sony camera
40,this one is $550
40,is this easy to use
40,it has 6 preset modes so it's easy to use but if you want to adjust the settings manually can also do that
40,what are the Colours
40,this one comes in white silver and black
40,okay
40,please let me know if you have any other questions
41,excuse me
41,yes
41,sensor size of this canon camera
41,full frame camera of size 34 mm x 25 mm
41,is it manual
41,yes it is
41,iso performance
41,it has a really high ISO which is 6400
41,"and what about this sony, is this supported to long exposion"
41,"yes, it has loong explosure of 40 secs"
41,what about the sensor
41,it's an aps-c sensor
41,thank you very much for your support
41,thank you for coming to our store
42,excuse me
42,how can I help you today
42,is this sony a long exposure
42,I am not sure. 
42,does it matter. I want a manual camera
42,"this is not manual, We have the canond which is full manual"
42,how is the iso performance
42,it has a really high ISO which is 6400 and its has very little noise 
42,okay
42,if you have any other questions just please call me
43,excuse me. is there any other colors of this nikon camera
43,it has 5 different colors purple pink black silver and red
43,how much is this
43,has 18 different preset modes so you don't need to buy just a second and just the series automatically
43,how much is this sony camera
43,that is $550
43,preset mode
43,yes it has 9 different preset modes and some artistic as a gas well
43,it's heavy how much is it
43,oh yes it's actually 470 grams
43,ok
43,if you need anything else please call me
44,excuse me. Do you have red color for this nikon
44,yes we do have red color for the camera
44,how much is this
44,this one is $68
44,it's easy to use
44,is full automatic cover on it and it has 18 different preset mode
44,it is good for beginers
44,is very good for a beginner user
44,and how much is this sony camera
44,this one cost $550
44,is there any other colors
44,colors black white and silver
44,thank you for your support
44,thank you for coming to our store
45,excuse me
45,yes how may I help you
45,canon supports for long exposure
45,Actually it does. it supports up to three seconds of exposure
45,user performance
45,it goes up to 6400 levels with really loud noise nothing
45,other manual setting camera
45,oh yes this one this  only for manual. There we have a siny that it a semi manual camera as well
45,ok let's see
45,this camera supports manual settings but also has some preset mode. Up to 5.
45,what is a performance
45,it has 3200 levels of iso
45,and what about the sensor size
45,it has aps-c sensor
45,thanks i will look around
45,ask me if you need any more help
46,excuse me
46,yes how can I help you
46,how much is this nikon
46,the 68 dollars
46,is there any other colors
46,comes with in purple pink black silver and red
46,how much weight
46,as you can feel yourself is very life it's only 120 grams
46,good. And how much about this sony
46,I am not sure…
46,it's easy to use
46,yes it has 9 different preset mode for automatic settings but you can also set it manually
46,what are the colors do you have
46,it comes in silver white and black
46,ok
46,see you soon
47,may I help you
47,how many colors do you have in this canon camera
47,there's only one color for this camera black to black too
47,just black ok. And what is the weight for this camera
47,just a body only is 950 grams and you have to buy extra lense
47,and what is the price of this
47,this one just about the body on me it's $2000
47,that's pretty expensive okay let me look at some other cameras. For example. is this a Nikon Coolpix S 2800 is this the newest and the price what is the price on this
47,this one is only $68
47,okay $68 pretty good price. and how many megapixels does it have
47,I am not sure… 30 maybe.
47,good good good and it has the optical zoom
47,it has 700 of zoom.
47,okay and what kind of manual settings does it have
47,yes. It is semi manual. You can try it.
47,okay okay okay thank you
47,you are welcome
48,hello how can I help you today
48,yes can you explain this camera nikon to me
48,yes this one is a point and shoot camera perfect for beginner users and it has 18 pieces
48,okay I'm looking for a camera for my wife and she's not very good with a camera but I know a lot about cameras but she doesn't is this good for beginners
48,this one is really good for a beginner it though so just it's setting
48,K and what is the glamour retouch effect
48,"yes, it is only black"
48,good that's a good effect okay how about the optical zooms
48,it has optical zoom of 1000
48,okay thank you let me look at some other cameras. Maybe this sony. How much about
48,this one cost $550
48,$550 a little more expensive for my wife how many colors does it come in
48,colors silver white and black
48,K and do what manual settings what are the manual settings on this
48,it has full manual control so you can control the aperture in the focus of the camera
48,good okay well let me take this catalog with me and I will come back and give you my answer
49,hello
49,good morning
49,excuse me could you explain this camera to me
49,this is a Canon EOS 5d
49,what is the price of it
49,it cost 1000 dollars.
49,when and how much does the or what is the long exposure on this
49,it has 20 seconds
49,what is the iso setting on it
49,it has 4000 iso
49,okay thank you let me think about that
49,excuse me you have two other cameras which is cheapest
49,this nikon is the cheapest
49,and what is the price on this
49,68 dollars
49,and this is a fully automatic camera
49,"yes, it is."
49,and the manual settings how many manual settings does it have
49,it has only 3 manual settings.
49,very much okay let me take a take my ideas to my wife and find out thank you
49,you are welcome
50,I'm looking for a camera that will take automatic pictures
50,I recommend you this nikon over there for all automatic settings camera
50,okay and what is how many colors do you have on this camera
50,five colors for this camera pink black silver and purple
50,okay and what's the weight
50,it's very light is just 120 grams
50,and what's the price on it
50,this camera costs $68
50,68 dollars thats great. What about the optical zoom
50,for this camera goes into 5 times optical zoom
50,thank you very much I'll let me let me talk to my wife and come back and buy a camera
50,very much okay let me take a take my ideas to my wife and find out thank you
51,yes I'm looking for a camera but I don't know anything about cameras so I need you to explain to me about what this sony camera is about how many colorss do you have
51,this color of this camera comes in three colors color white and black
51,OK and how much does it weigh
51,it weighs 470 grams
51,and what is the artistic effect mode on this camera
51,there are 5 artistic effects.
51,okay how about the price
51,this one cost 550 dollars
51,550 dollars Lil bit pricey for I don't know too much about cameras so do you have anything cheaper
51,yes we do I can show you this nikon
51,how many colors does this camera come in
51,colors pink black silver and purple
51,okay good and the price on this camera
51,this one cost $68. Dollars
51,a dog that's a big difference from that one over there okay and manual settings how many manual settings does it have I don't know what is a manual setting
51,this one has Limited manual settings menu settings to set the aperture and focus but it has 18 preset modes
51,18 preset modes good I don't know I'll have to study about that
51,and you recommend this camera
51,for a beginner user I recommend this camera
51,thank you I'll take it
51,thank you so much
52,may I help you
52,I'm looking for a camera but I don't exactly know what kind of camera I'm looking for
52,this sony one has auto mode and manual mode. do you want to automatic settings camera
52,yes I'm going to cameras but to the new digital cameras are not good at
52,you are an experienced user you can take a look at this one because he has 9 different presidents
52,how much is this camera
52,this one it costs $550
52,okay 500 $50 a little pricey for me you have anything cheaper
52,"yes, ve have this nikon but with limited manual settings"
52,okay that's the drawback okay and he comes here with optical zoom
52,it comes with 5x optical zoom
52,what's the price on this again
52,this one is $68 you don't leave
52,hey. It's okay good okay thank you very much
52,thank you for coming to our store
52,welcome goodbye
53,good afternoon sir how can I help you today
53,I'm looking for a camera
53,what kind of camera are you looking for
53,something that is not too expensive but not really cheap
53,I can recommend you this sony
53,$550 that's not too bad how many colors does this come in
53,this camera comes in three colors white silver and black
53,okay and you have what's the weight of this camera
53,the weight of this camera is 470 grams
53,and the autofocus points
53,discover one 179 focus points
53,okay well let me think about that okay thank you very much
53,you're welcome
54,hello
54,how can I help you today I'm looking for
54,I'm looking for an advanced mode camera
54,we have the EOS 5D is a pro camera which you can adjust the settings manually
54,in how many colors does it come in
54,sorry only in one color which is black
54,I see you and what is the weight of this
54,just a body only it weighs 950 grams
54,Focus points how many points does it have
54,it has 61 autofocus points
54,EOS 5D  and how many manual settings does it come in
54,you can sit it has full manual settings you can set the exposure of 30 secs the focus and aperture
54,okay and what is the price on this
54,call me it cost 2000 dollars
55,good afternoon how can I help
55,unless these cameras look so complicated. I'm a bit lost really
55,can I ask what sort of pictures you take
55,yeah of family stuff parties not to embarrassing
55,so you need a camera you can take anywhere use easily
55,that sounds about right now we have to
55,Can you come. This COOLPIX has 20 megapixel sensor so you can do some beautiful enlargements a point-and-shoot camera so it's very easy to use
55,it is like using the phone
55,much simpler
55,that's great do I have to worry about setting things manually
55,18 presets in that you can have some different effects but if you choose your favorites setting that you don't have to change anything
55,alright thanks
55,anything else I can help you with
55,I consider
55,okay thank you have a good afternoon
56,help me 
56,yes how can I help you
56,I would like to know if there are some special features found in this sony camera
56,this one is a mirrorless camera automatically
