prompt,completion
the kind of pictures that you could just send off on the internet like a telephone does like a smartphone but I can't figure out how to work smartphone ### , Customer END
how much does it cost in cost ### , Customer END
okay interesting ### , Customer END
does the screen touch screen ### , Customer END
yeah that sounds great to me I don't have to worry about the technical stuff ### , Customer END
just like I mentioned I'm not really at a professional photographer sir can you please explain me more about the glamour retouch effects ### , Customer END
okay and how about megapixels I don't know anything about megapixels what is that ### , Customer END
does it come in any colors close to White ### , Customer END
thank you ### , Customer END
I'm fine thank you I'm just looking at it and it looks amazing does it have an automatic model ### , Customer END
okay And they ISO ### , Customer END
Do you have anything with better image quality ### , Customer END
is the quality good ### , Customer END
ok ### , Customer END
ok ### , Customer END
I'm not competitive person when it comes to pictures or just take pictures of a camera do ### , Customer END
red color ### , Customer END
ok thanks ### , Customer END
use me ### , Customer END
I'm looking for an expert camera ### , Customer END
Is this camera easy-to-use I am it's me just then I would like I'm on ### , Customer END
Do you have something with a higher ISO ### , Customer END
how good is it for the optical zoom  ### , Customer END
this ones mirrorless right ### , Customer END
thank you ### , Customer END
hi ### , Customer END
I'm just looking at the moment thank you ### , Customer END
what colors does it come in ### , Customer END
I'm looking at this dslr it looks pretty good ### , Customer END
I'm a beginner so I don't know too much about cameras is it easy to use for me ### , Customer END
sounds good ### , Customer END
thank you ### , Customer END
hi good afternoon I'm starting college next semester and I'll be taking at school need a camera that has professional pictures ### , Customer END
okay that sounds good then I'm going to be going on Holiday Inn I want to take some photos of the night sky will this be good for that  ### , Customer END
okay ### , Customer END
does the screen touch screen ### , Customer END
does it come in purple ### , Customer END
what other effects does it have ### , Customer END
okay can you tell me what optical zoom it has ### , Customer END
What is synthesizer of this camera ### , Customer END
how much does one cost  ### , Customer END
sounds good ### , Customer END
do you know how many colors this camera has ### , Customer END
does it take good pictures with movement ### , Customer END
okay ### , Customer END
and what is the artistic effect mode on this camera ### , Customer END
is the other one with menu settings is that lighter or heavier than its camera ### , Customer END
alright well thank you very much for your help today thank you ### , Customer END
excuse me ### , Customer END
I'm looking for a camera to use in art school ### , Customer END
one of the thing  I used to adjust a lot of parameters like white balance and artistic modes what about this camera do they have it all right now how many modes do they have ### , Customer END
what model is this a DSLR ### , Customer END
but it's a point and shoot ### , Customer END
okay good ### , Customer END
that's nice how much is it ### , Customer END
"I said does it have light in a the thing where you can retouch the pictures you take, like a glamour mode ### ", Customer END
what other effects does it have ### , Customer END
does it come in purple ### , Customer END
okay okay ### , Customer END
hi is this camera good for low light pictures ### , Customer END
okay I've read that aps-c is pretty good ### , Customer END
IC ### , Customer END
ok thank you ### , Customer END
sorry I may ask something about this camera ### , Customer END
online business so I'm just trying to get it started ### , Customer END
I need to take pictures of a beach volleyball tournament and I need a camera that this is so I can do that ### , Customer END
okay ### , Customer END
thank you very much ### , Customer END
hello good morning ### , Customer END
thanks i will look around ### , Customer END
I don't think I want to use the glamour retouch effect on my baby but is there any other modes that will help me ### , Customer END
okay thank you ### , Customer END
do they have pet mode ### , Customer END
Do you have anything with more preset modes ### , Customer END
the color red ### , Customer END
oh wow its looks nice ### , Customer END
I see thank you for your help ### , Customer END
I'm looking to buy a professional camera since I'm starting a class next week ### , Customer END
what's preset mode ### , Customer END
ok ### , Customer END
thank you ### , Customer END
oh excuse me ### , Customer END
I'm looking for a camera with very specific pictures ### , Customer END
I will be going ski does it take the photos in the snow ### , Customer END
Oregon how much does it cost ### , Customer END
I see and what about the preset mode ### , Customer END
what is the weight on on this ### , Customer END
does this camera support for preset mod ### , Customer END
IC ### , Customer END
yeah ### , Customer END
thanks ### , Customer END
hi good afternoon I'm looking for a camera with very specific about the pictures ### , Customer END
is it good for me to be around on my am travelling Adventures ### , Customer END
good ### , Customer END
thank you ### , Customer END
I'm looking for a camera to take outdoor photos ### , Customer END
wow this is nice ### , Customer END
you're actually it's the way is feels really nice ### , Customer END
thank you ### , Customer END
um yeah it depends you know when I travel I like to take pictures of the scenes and everything ### , Customer END
do you have any cameras with landscape night mode and menu settings ### , Customer END
thank you very much for your help ### , Customer END
Hi do you have a moment ### , Customer END
I'm looking for a good camera like nothing like a little time I think I want stay with real pictures so can you show me what are your options here ### , Customer END
I like taking pictures of the night sky so I need something that perform well under low light ### , Customer END
how good is the quality of dark environment photographs ### , Customer END
when does it come in any other color ### , Customer END
Yahara actually like to do that and then what how many megapixels does it have ### , Customer END
ok ### , Customer END
any update these preset modes ### , Customer END
yeah ### , Customer END
Does it come in artistic retouch effects I want to to look beautiful and perfect ### , Customer END
does it have glamour retouch effects ### , Customer END
okay great can I use the thirty-second look into booster at ISO 3200 ### , Customer END
ok thanks ### , Customer END
hello ### , Customer END
so if I want to shoot photos of stars I should choose this camera ### , Customer END
IC ### , Customer END
okay thank you ### , Customer END
I'm looking for a camera to take pictures of family and friends ### , Customer END
how is iso performance of this camera ### , Customer END
that's the part that sounds good ### , Customer END
that's great we're by the way ### , Customer END
oh I see ### , Customer END
I see that seems really hard alright thanks very much ### , Customer END
good afternoon I just graduated from high school am looking to buy a new camera ### , Customer END
the kind of pictures that you could just send off on the internet like a telephone does like a smartphone but I can't figure out how to work smartphone ### , Customer END
okay ### , Customer END
ok let's see ### , Customer END
do you have red ### , Customer END
what about this one is this one point and shoot ### , Customer END
does it come in purple ### , Customer END
so you don't have the lens here ### , Customer END
okay let's see what about the artistic effect mode is it really good or is it ok ### , Customer END
does it take good pictures with movement ### , Customer END
I will look around again thank you ### , Customer END
what cameras do you have help with that would be good for beginners ### , Customer END
how about this camera how many auto focus points does this have ### , Customer END
black only ### , Customer END
what colors does it come in ### , Customer END
can I lick a zoom in ### , Customer END
thank you ### , Customer END
excuse me ### , Customer END
I know now myself but this is really what I'm looking for actually ### , Customer END
and how about taking photos in different conditions I'm going to be going to the beach will it be cold for very bright light ### , Customer END
IC ### , Customer END
ok thank you ### , Customer END
Yes simple point and shoot but I'm looking for something nicer ### , Customer END
you know I love my cat and I need to take pictures of my cat declawed Facebook ### , Customer END
ok ### , Customer END
thank you ### , Customer END
excuse me ### , Customer END
I'm looking for a camera to take pictures outdoors ### , Customer END
that would be nice ### , Customer END
ok ### , Customer END
ok ### , Customer END
IC ### , Customer END
that's nice how much is it ### , Customer END
and what about this artistic artistic effect mode  ### , Customer END
okay I guess this one's got a pretty good sense size ### , Customer END
does it have glamour retouch effects ### , Customer END
Do you have anything with better image quality ### , Customer END
does it take good pictures with movement ### , Customer END
the result does look good ### , Customer END
thank you ### , Customer END
excuse me ### , Customer END
I'm fine thanks ### , Customer END
can I lick a zoom in ### , Customer END
does this camera also coming in black and white ### , Customer END
does it have autofocus points ### , Customer END
ICN worry about their long exposure ### , Customer END
that is nice ### , Customer END
I will be going ski does it take the photos in the snow ### , Customer END
IC ### , Customer END
oh that sounds good how long does the exposure go ### , Customer END
okay ### , Customer END
what is exposure ### , Customer END
is it good to shoot images in nature of wildlife ### , Customer END
ok ### , Customer END
nice how much is a pricing ### , Customer END
synthesize of this camera ### , Customer END
sweet thanks ### , Customer END
what are megapixels ### , Customer END
what model is this a DSLR ### , Customer END
sounds great how about the synthesized honest ### , Customer END
alright very well thank you very much for your help ### , Customer END
oh thank you very much I was just looking around ### , Customer END
is this one mirrorless ### , Customer END
and how about the census for this ### , Customer END
what kind of lens sets does it come with ### , Customer END
alright ### , Customer END
thank you thank you very much ### , Customer END
excuse me ### , Customer END
I'm looking for a camera to take basic everyday photos ### , Customer END
oh okay that's really good and there is it still compatible with the old lenses ### , Customer END
what about the megapixels camera ### , Customer END
this camera looks good how high does the iso go ### , Customer END
not too bad ### , Customer END
this camera looks pretty good but I was wondering about this is so ### , Customer END
I see and what about the out of focus points ### , Customer END
and what about the preset modes of discovery ### , Customer END
what color do you have ### , Customer END
what are the colors ### , Customer END
Do you have anything with more effects available ### , Customer END
The Pink Pig ### , Customer END
is it heavy ### , Customer END
I said what about the setting is it easy for us at I hate you know my first camera I don't want it to be a typical I want to be super easy to use ### , Customer END
I see ### , Customer END
okay so it's not the same kind of zoom ### , Customer END
I had a Minolta it was a point and shoots but it''s very old ### , Customer END
and how large is the Sensa ### , Customer END
what model is this a DSLR ### , Customer END
that's great thank you for your help ### , Customer END
i see and what is the sensor size of this camera ### , Customer END
what's this grammar retouch effect ### , Customer END
what about the price ### , Customer END
for the exposure of this one is it the same as the other one ### , Customer END
what are these preset modes ### , Customer END
ok what about the ISO as well ### , Customer END
Do you have anything with more effects available ### , Customer END
fender what is the weight for this camera ### , Customer END
city of the colors ### , Customer END
okay thanks ### , Customer END
hello good morning ### , Customer END
I have a smartphone but I'm not smart enough to use it ### , Customer END
just a few pictures here and there and just I don't know just I just take pictures ### , Customer END
oh wow its looks nice ### , Customer END
okay I say it ### , Customer END
what is this camera sensor size ### , Customer END
is it good to shoot images in nature of wildlife ### , Customer END
that's great and has a long exposure might as well ### , Customer END
IC ### , Customer END
how much does it cost ### , Customer END
how about the ISO something ### , Customer END
do you have red ### , Customer END
Thanks ### , Customer END
Excuse Me Miss ### , Customer END
I'm looking for a camera ### , Customer END
"actually no, I just use it for traveling I'm not that Professional ### ", Customer END
And the auto Focus points how many points does it have ### , Customer END
cic ### , Customer END
ok let me see ### , Customer END
ok thanks ### , Customer END
for the most part I'm just focusing their holiday experience with friends ### , Customer END
that looks good ### , Customer END
okay ### , Customer END
looks nice doesn't match what I want how much is consumed you know I want to sue me in and zoom out ### , Customer END
what is exposure ### , Customer END
I don't think I want to use the glamour retouch effect on my baby but is there any other modes that will help me ### , Customer END
day and night ### , Customer END
ok ### , Customer END
does it have glamour retouch effects ### , Customer END
that's great we're by the way ### , Customer END
what model is this a DSLR ### , Customer END
and this this one come in white ### , Customer END
is it high performance ### , Customer END
it looks like a good camera what this iso mean ### , Customer END
wow ### , Customer END
I actually do it this way to write how much is it ### , Customer END
Do you have anything with better image quality ### , Customer END
does it come in purple ### , Customer END
the picture is very nice ### , Customer END
Thanks ### , Customer END
I'm looking for a camera ### , Customer END
I'm looking for a camera for art school ### , Customer END
common black ### , Customer END
how big is the sensor ### , Customer END
is it high performance ### , Customer END
what are megapixels ### , Customer END
okay good how about the artistic effect mode what is that good ### , Customer END
How is iso performance of this camera ### , Customer END
oh this is a mirrorless camera isn't it ### , Customer END
it's quite a lot more than a point and shoot ### , Customer END
well that's very cheap and uh huh is it still good quality to pictures ### , Customer END
do you have anything bigger than anything with a higher ISO for instance ### , Customer END
what is the preset mode ### , Customer END
and how about the long exposure setting ### , Customer END
I am just studying photography does it come in any other colors ### , Customer END
okay that's not too bad for good camera mean he'll us 5d II ### , Customer END
this camera looks good ### , Customer END
thanks for your help today ### , Customer END
excuse me ### , Customer END
lookin fine thank you I'm looking for a camera I am just looking for something simple ### , Customer END
Does it have bulb mode ### , Customer END
Oh that'd be great I really want to try it before buying it ### , Customer END
and what about this artistic artistic effect mode  ### , Customer END
okay I see and has synthesizes and long exposures in manual settings on spreading good camera ### , Customer END
does it come in purple ### , Customer END
okay and how about megapixels I don't know anything about megapixels what is that ### , Customer END
is it high performance ### , Customer END
thank you so much ### , Customer END
I'm just browsing just trying to see what camera is the best for just taking pictures and just showing to my friends ### , Customer END
let me see ### , Customer END
what model is this a DSLR ### , Customer END
yeah but this thing seems to be quite heavy you as I mentioned earlier I want something that's little light what about that one is a no so good for me to take picture at night ### , Customer END
i see ### , Customer END
Yes we do have this nikon camera it's a point and shoot camera just for everyday use ### , Shopkeeper END
This camera is very easy to use. Just choose a preset mode and point and shoot ### , Shopkeeper END
"Because it's fully automatic sometimes gets a little bit confused in extreme situations, so if you're in a really dark forest or if you're on top of a snow-covered mountain, there exceptional, so you need to tell that something strange is going on, that will help the automatic mode work in your favor ### ", Shopkeeper END
thanks for your time have a good afternoon ### , Shopkeeper END
"This is the nikon, it's ideal for taking simple everyday photos ### ", Shopkeeper END
yes it comes in 4 other different colors purple pink black and red ### , Shopkeeper END
For mirrorless camera that comes with manual and also automatic settings ### , Shopkeeper END
"If you just want to use the preset modes, it can be very easy to use ### ", Shopkeeper END
thank you for visiting our store ### , Shopkeeper END
do you need anything ### , Shopkeeper END
feel free to browse if you have any questions I'll just be over it ### , Shopkeeper END
"it's different so the retouch effect is a Beauty effect for the subjects, for the subject you take a photo of, but these artistic mode gives like a painting effect ### ", Shopkeeper END
I'm afraid so ### , Shopkeeper END
this one has a 5 times optical zoom ### , Shopkeeper END
can I ask what sort of pictures you take ### , Shopkeeper END
"the Sony Alpha a6000 is a mirrorless camera so aside from the preset mode, it also have manual setting so you can have  full control of the aperture the shutter speed and the focus ### ", Shopkeeper END
"This one has 179 autofocus points, useful for taking action shots while your pets are playing ### ", Shopkeeper END
it can go up to 3200 ISO ### , Shopkeeper END
It have full manual control ### , Shopkeeper END
it goes up to 30 seconds of long exposure ### , Shopkeeper END
it has 13 different artistic effect modes ### , Shopkeeper END
It has 179 autofocus points ### , Shopkeeper END
thank you for coming ### , Shopkeeper END
You can see the autofocus is very responsive  it can follow the moving characters within the frame quite well ### , Shopkeeper END
it's an excellent camera that gives you a lot of the features the professional cameras have at a much lower price ### , Shopkeeper END
there is 13 different effect ### , Shopkeeper END
yes it has full manual controls so you can also control. That ### , Shopkeeper END
no the Sony doesn't have bulb mode ### , Shopkeeper END
the one is $550 ### , Shopkeeper END
It comes in silver black and white ### , Shopkeeper END
I think we can see straight away we can have a look at the Canon 5d Mark 3 ### , Shopkeeper END
no it doesn't so if you're not familiar unfortunately you have to control everything manual ### , Shopkeeper END
it takes really sharp image in 6400 ISO ### , Shopkeeper END
and what sort of picture do you like to take ### , Shopkeeper END
"this is the Sony a6000 and you have full manual control and an excellent quality sensor great AutoFocus Features and you can take fantastic photographs for enlargement, but it's also designed around the idea that you are going to uses these photos that you're going to put them in Facebook, share them with friends, do some prints and maybe post up to Flickr as well ### ", Shopkeeper END
there is 13 different effect ### , Shopkeeper END
"It has 13 artistic effects, such as toy camera and soft focus ### ", Shopkeeper END
"it has 9 preset modes for the most basic different kind of conditions, so you can stay in automatic and let it makes some of those changes for you, or drop over into manual ### ", Shopkeeper END
This camera will enable you to take very high quality images of your pets ### , Shopkeeper END
This one although not full frame it has a crop sensor ### , Shopkeeper END
this one goes up to 30 seconds of exposure ### , Shopkeeper END
It's got 179 autofocus point so you can pinpoint anything almost anywhere in your picture and follow it around and keep it in focus quite well its very responsive ### , Shopkeeper END
we don't have information ### , Shopkeeper END
"it's a different idea to the DSLR, so with the DSLR contains a lot of mechanism around the internal glass with a pint of prism and a mirror this does away with all of that so pick it up and feel how light it is ### ", Shopkeeper END
white silver and black ### , Shopkeeper END
"It as an APS-C sensor, that's a crop sensor ### ", Shopkeeper END
the sensor size for this one is that a has an aps-c sensor ### , Shopkeeper END
thanks for your time see you again ### , Shopkeeper END
good afternoon how can I help ### , Shopkeeper END
"This camera here is the wonderful camera $68, its point and shoot fully automatic 20 megapixels please pick it up take a few photos if you like you can see the optical zoom is just here ### ", Shopkeeper END
I think this is the perfect one for you because it's easy to use ### , Shopkeeper END
It's perfect for inexperienced users since it has 18 preset modes which automatically determine proper settings for the best results ### , Shopkeeper END
thank you ### , Shopkeeper END
good afternoon how can I help ### , Shopkeeper END
"if he like to take pictures his family and friends, this is point and shoot fully automatically, we can go through all the menus with you here to make sure it's absolutely certain, it's simple operation ### ", Shopkeeper END
"Because it's fully automatic sometimes gets a little bit confused in extreme situations, so if you're in a really dark forest or if you're on top of a snow-covered mountain, there exceptional, so you need to tell that something strange is going on, that will help the automatic mode work in your favor ### ", Shopkeeper END
thank you for coming to our store ### , Shopkeeper END
may I help you ### , Shopkeeper END
"This is the Sony, it has 179 autofocus points which will help you get great sports photos ### ", Shopkeeper END
this one comes in three colors white silver and black ### , Shopkeeper END
it has 179 autofocus points so it's the perfect camera to take sports pictures ### , Shopkeeper END
thank you for coming ### , Shopkeeper END
"This is the Sony, it can take excellent nighttime photos ### ", Shopkeeper END
"for Facebook it has some modes in there you can tweak the look at the pictures, put some is artistic effects and upload it directly to Facebook through your computer ### ", Shopkeeper END
"Basically this also comes in preset mode so you are thinking just to get a good shot, you can just use that to make it easier for you ### ", Shopkeeper END
"it's a different idea to the DSLR, so with the DSLR contains a lot of mechanism around the internal glass with a pint of prism and a mirror this does away with all of that so pick it up and feel how light it is ### ", Shopkeeper END
thanks for your time have a good afternoon ### , Shopkeeper END
good afternoon how can I help ### , Shopkeeper END
"this is the best one for good sociable pictures family and friends, it's designed for that to be point and shoot for the fast response ### ", Shopkeeper END
we are not sure about that we don't have information ### , Shopkeeper END
"This one has 12 glamour retouch effects, if you want to touch up some of your pics of family or friends ### ", Shopkeeper END
"This one has 18 preset modes, so you won't need to focus so much on the settings and can just enjoy hanging out with family and friends ### ", Shopkeeper END
its only $68 ### , Shopkeeper END
I'm not sure about that ### , Shopkeeper END
This one has very limited almost no manual settings ### , Shopkeeper END
"yes it has 18 different preset modes so you can set the settings, the settings is adjusted for everything ### ", Shopkeeper END
Yes it comes in also black red silver pink and purple ### , Shopkeeper END
I am not sure about that we don't have any information about that ### , Shopkeeper END
and it takes family pictures very easily and they look beautiful ### , Shopkeeper END
"This one is very easy to use, perfect for just taking pics of family or friends ### ", Shopkeeper END
"It's 20 megapixels, these days it's a big step up that happens about every 6 months now those that has a very nice lens on it and a 5 times optical zoom ### ", Shopkeeper END
we don't have any information about that ### , Shopkeeper END
"over here we have the semi-pro models, they take great photographs that's a quarter the price but there is some compromise as to how much artistic control you have ### ", Shopkeeper END
"it's got a lot of autofocus points on it so it can follow anything that's moving in the frame to make sure that it stays in crisp focus, it's got a lot of preset modes well so you can tell what environment you are shooting in ### ", Shopkeeper END
this one has up 30 seconds of exposure ### , Shopkeeper END
"This one has 13 artistic effects, like toy camera and soft focus, useful for casual photos of family and friends ### ", Shopkeeper END
of course and it also has artistic modes built into the camera so you can do a few tricks as well and then put it straight onto facebook from the camera ### , Shopkeeper END
"Yes definitely you can control the settings manually, aperture, shutter speed Focus everything you can control manually ### ", Shopkeeper END
I'm not sure what's the sensor size on a point and shoot but I think it's a bit bigger ### , Shopkeeper END
It comes in 3 different colors white silver and black ### , Shopkeeper END
it is fun it has 13 artistic effect modes such as toy camera black and white different illusion effect ### , Shopkeeper END
This can the nikon are the only cameras we have with special effects ### , Shopkeeper END
good thanks yourself ### , Shopkeeper END
good afternoon how can I help ### , Shopkeeper END
can I ask what sort of pictures you take ### , Shopkeeper END
Yes we do have this nikon camera it's a point and shoot camera just for everyday use ### , Shopkeeper END
"we have 5 different colors for this camera, red silver and pink black and purple ### ", Shopkeeper END
thanks for your time have a good afternoon ### , Shopkeeper END
I don't think you should drop it ### , Shopkeeper END
this is a mirrorless camera and also it has manual settings and automatic settings ### , Shopkeeper END
for sport pictures it's better because it has 179 autofocus points so it's really good for taking moving objects ### , Shopkeeper END
thanks for your time have a good afternoon ### , Shopkeeper END
may I help you ### , Shopkeeper END
can I ask what sort of pictures you take ### , Shopkeeper END
"This is the Sony, it has 179 autofocus points which will help you get great sports photos ### ", Shopkeeper END
It can take excellent photos of moving subjects ### , Shopkeeper END
it has 179 autofocus points so it's the perfect camera to take sports pictures ### , Shopkeeper END
this one comes in three colors silver white and black ### , Shopkeeper END
thanks for your time have a good afternoon ### , Shopkeeper END
"That camera is designed for travel to take fantastic pictures on a budget, but still really great almost top end pictures, this camera is the next step up from your mobile phone, it's got a optical instead of a digital zoom, so the pictures always have consistently good quality as a 20 megapixel sensor so you can get some nice prints, its only $68 ### ", Shopkeeper END
